source_family_bonus,redundancy_penalty,max_per_source_family,evaluated_answerable_queries,latency_samples,recall_at_budget_macro,mrr,ndcg_at_budget_macro,mean_source_family_coverage,mean_exact_claim_redundancy,latency_ms_p50,latency_ms_p95,mean_scored_candidates,mean_selected_evidence,mean_visited_evidence,mean_visited_nodes,mean_visited_edges,timeout_count,pareto_optimal,quality_constraint_passed
0.16,0.24,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.7120500000000001,1.32462,13.15,3.425,13.3,0.0,0.0,0,False,False
0.16,0.24,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.8162499999999999,1.459945,13.15,3.65,13.3,0.0,0.0,0,False,True
0.16,0.24,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.8276,1.5711899999999996,13.15,3.7,13.3,0.0,0.0,0,False,True
0.16,0.32,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.72865,1.3775399999999998,13.15,3.425,13.3,0.0,0.0,0,False,False
0.16,0.32,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.8030999999999999,1.5451449999999995,13.15,3.65,13.3,0.0,0.0,0,False,True
0.16,0.32,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.8095,1.5068599999999996,13.15,3.7,13.3,0.0,0.0,0,False,True
0.2,0.08,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.71395,1.3468399999999996,13.15,3.425,13.3,0.0,0.0,0,False,False
0.2,0.08,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.78805,1.3925699999999999,13.15,3.65,13.3,0.0,0.0,0,False,True
0.2,0.08,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.84455,1.6278249999999996,13.15,3.7,13.3,0.0,0.0,0,False,True
0.2,0.16,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.7353000000000001,1.3994199999999999,13.15,3.425,13.3,0.0,0.0,0,False,False
0.2,0.16,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.80145,1.4790799999999995,13.15,3.65,13.3,0.0,0.0,0,False,True
0.2,0.16,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.8024,1.57995,13.15,3.7,13.3,0.0,0.0,0,False,True
0.2,0.24,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.702,1.252815,13.15,3.425,13.3,0.0,0.0,0,False,False
0.2,0.24,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.7931,1.4290949999999998,13.15,3.65,13.3,0.0,0.0,0,False,True
0.2,0.24,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.7819,1.49033,13.15,3.7,13.3,0.0,0.0,0,False,True
0.2,0.32,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.70295,1.2537649999999998,13.15,3.425,13.3,0.0,0.0,0,False,False
0.2,0.32,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.7806,1.520695,13.15,3.65,13.3,0.0,0.0,0,False,True
0.2,0.32,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.8038000000000001,1.48162,13.15,3.7,13.3,0.0,0.0,0,False,True
